subfolder,filename,filepath,feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,feature_040,feature_041,feature_042,feature_043,feature_044,feature_045,feature_046,feature_047,feature_048,feature_049,feature_050,feature_051,feature_052,feature_053,feature_054,feature_055,feature_056,feature_057,feature_058,feature_059,feature_060,feature_061,feature_062,feature_063,feature_064,feature_065,feature_066,feature_067,feature_068,feature_069,feature_070,feature_071,feature_072,feature_073,feature_074,feature_075,feature_076,feature_077,feature_078,feature_079,feature_080,feature_081,feature_082,feature_083,feature_084,feature_085,feature_086,feature_087,feature_088,feature_089,feature_090,feature_091,feature_092,feature_093,image_id,is_fruit
1300169,01300169_001.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_001.jpg,1211.5,132.61016845703125,3.809913396835327,0.8657243251800537,0.9781994223594666,0.5249053239822388,0.1189563497900962,1.0,-7.842683352583487e-17,1.247257470669835e-16,0.8818170428276062,-0.0147726442664861,0.0135824177414178,0.0065079862251877,0.0139008658006787,0.0366428047418594,0.0134619371965527,0.0143233453854918,-0.0019193182233721,-0.0064463727176189,0.0067120143212378,-0.0031346285250037,-0.0060117007233202,0.0115292258560657,0.0067929294891655,-0.0078447749838233,0.0028566943947225,-0.0018115191487595,0.0044995304197072,-0.0004789019876625,0.0024437874089926,0.0009403340518474,0.0015544615453109,0.0047163744457066,-0.0002578786807134,-0.000355934316758,0.003582616103813,0.0018044020980596,-0.0015935626579448,0.001989773241803,0.0013296528486534,-0.0051428144797682,-0.0012955197598785,-0.000158586539328,0.0023775428999215,-0.0034078978933393,0.0003536243166308,109.0,0.0840281024575233,4.503364086151123,1.447519063949585,2.1209940910339355,0.2346910685300827,0.2709586918354034,0.2156049311161041,0.3398622870445251,0.3362531065940857,0.2935734093189239,0.0237258914858102,0.2005911767482757,0.2193759083747863,0.2852552235126495,0.318309873342514,2.5133055731811193e-16,0.7615236639976501,0.0150951603427529,0.0006611460121348,0.0029549149330705,0.7574281692504883,0.0544085502624511,0.0030786879360675,0.0025545211974531,0.0131100034341216,0.0003770262992475,0.3531679511070251,0.0872773975133895,0.0158340241760015,0.000394372123992,0.0040534767322242,0.0276154950261116,0.0021367408335208,0.000116820941912,0.1527385264635086,0.0707509443163871,0.0393280275166034,0.0025425723288208,7.51450497773476e-05,0.2696228325366974,0.9518628716468812,159.6124725341797,128.57615661621094,4.199615001678467,51.62867736816406,32.540977478027344,01300169_001,True
1300169,01300169_002.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_002.jpg,738.0,105.2548370361328,3.874483823776245,0.8371092081069946,0.972332000732422,0.7437806725502014,0.1071085706353187,-1.0,2.7625079602192553e-16,-2.654630373452539e-16,-0.7390046715736389,0.0041276365518569,-0.002741138683632,-0.0015692445449531,-0.001433185301721,-0.0309341009706258,-0.0056919800117611,-0.0030413577333092,-0.0546214580535888,-0.0057052881456911,-0.0167955756187438,-0.0214357785880565,0.0065432819537818,-0.0021257828921079,-0.0064093205146491,-0.0003042333992198,0.0080342963337898,-0.0054567633196711,-0.0143807828426361,0.0122293718159198,0.0003408599004615,-0.0005356745095923,-0.0005684742936864,0.0094840452075004,-0.000363593455404,-0.0051972027868032,-0.0065955859608948,-0.0027534724213182,0.0001232360082212,0.0012566643999889,0.0067780576646327,-0.0010054153390228,-0.0038101770915091,-0.0008041394758038,-0.0062431977130472,0.0034119749907404,-0.0010462327627465,91.99999237060548,0.2660804390907287,9.421245574951172,0.0227647814899683,0.6791079640388489,1.7466682195663452,0.5342077016830444,0.4997031986713409,0.3471544682979584,0.4993873536586761,0.3528321981430053,0.1822663694620132,0.1755722761154174,0.2950960695743561,0.2155884057283401,0.318309873342514,1.9912596463258377e-17,0.827621579170227,0.0233021527528762,5.029956082580611e-05,0.0002765678509604,1.0153688192367554,0.096250794827938,0.0012762059923261,0.0003739150124602,0.0011609392240643,0.0004709397326223,0.8367599844932556,0.1988208293914795,0.0069875484332442,0.0001220507692778,0.0014265970094129,0.0025795677211135,0.0030975670088082,9.633603622205555e-05,0.4084284007549286,0.2720441818237304,0.0189492162317037,0.0008785107638686,7.580681995023042e-06,0.5612317323684692,0.8168176412582397,179.30445861816406,141.00509643554688,3.8423163890838623,32.835243225097656,38.784427642822266,01300169_002,True
1300169,01300169_003.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_003.jpg,2413.5,326.8355712890625,6.652818202972412,0.2839216589927673,0.6581674218177795,0.7329162955284119,0.1426934450864792,-1.0,1.9078306729648824e-16,-2.2077731128704087e-16,-0.6089707612991333,0.1839912235736847,-0.2288028299808502,-0.0051587279886007,0.0461016036570072,-0.0962233915925026,-0.1204610243439674,0.1079489514231681,0.1923931539058685,-0.0208452176302671,-0.1437826305627823,0.0823496282100677,0.072636678814888,-0.0533907786011695,0.0100423507392406,-0.0589310713112354,0.012639463879168,0.0117325270548462,-0.0027199052274227,0.0546179786324501,-0.0224266443401575,-0.0164698753505945,0.0209284853190183,0.00120087293908,0.0456487350165843,0.0304043460637331,0.003810062771663,0.0256993882358074,0.0130331320688128,0.0153302969411015,0.0124763892963528,-0.0011888035805895,-0.0015623898943886,0.0187267120927572,-0.0014596552355214,-0.0138704078271985,-0.0032414735760539,285.0,23.65201759338379,37.03989028930664,40.27087020874024,30.890357971191406,11.99872875213623,4.223794937133789,8.223416328430176,3.617980718612671,3.123365640640259,2.5490472316741943,4.1059393882751465,0.3770171403884887,1.4816818237304688,1.2812775373458862,0.318309873342514,0.0104673486202955,0.4040900468826294,0.1012464165687561,0.0272108800709247,0.0587284341454505,0.121139295399189,0.072087675333023,0.1235530823469162,0.0628881603479385,0.1437045335769653,0.0257447808980941,0.0480203256011009,0.1616519093513488,0.117841750383377,0.1034308820962905,0.1070527210831642,0.1615024209022522,0.1102874279022216,0.0133145656436681,0.0794120952486991,0.0649616569280624,0.0409870445728302,0.1080985218286514,0.0764055997133255,0.1189889535307884,-0.0285376235842704,87.95268249511719,172.42510986328125,58.72134017944336,58.39698791503906,48.01298141479492,01300169_003,True
1300169,01300169_004.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_004.jpg,1021.0,121.05382537841795,3.788485527038574,0.8755452632904053,0.9803168773651124,0.4646413326263428,0.1050585731863975,1.0,-1.4307058811527016e-16,1.8693404370504632e-16,0.9023445844650269,-0.0157501641660928,0.0108925430104136,0.0029507516883313,0.0005172089440748,0.0130813168361783,0.0038433007430285,0.0050842282362282,0.0046361135318875,-0.0087825758382678,0.001241885474883,-0.005453900899738,-0.0073566394858062,-0.0006477936985902,0.0035970811732113,-0.0031053153797984,-0.002033727010712,-0.0010265774326398,0.0019727209582924,0.0027912424411624,-0.0049556135199964,-0.0050489269196987,-0.0001977798965526,-0.0014866447309032,-0.004574756603688,0.002761302050203,-0.0003915255365427,-0.00299953809008,-0.0012127631343901,0.0027075556572526,-0.0014024202246218,-0.0009691368904896,-0.0013379404554143,0.0008643273613415,-0.0015687885461375,0.0006833081133663,0.0007927797269076,102.0,0.0521945729851722,3.1778111457824707,1.016655206680298,0.4867618680000305,0.2360296994447708,0.3100552558898926,0.2495326548814773,0.0748501047492027,0.2698560655117035,0.3042659759521484,0.1716925203800201,0.0812384262681007,0.1621294766664505,0.2137065082788467,0.318309873342514,7.756262169161907e-17,0.7925665974617004,0.0095640262588858,0.0002792440354824,0.0016657870728522,0.8725005984306335,0.036906462162733,0.0006777379312552,0.001189493224956,0.0078541338443756,0.0001657058455748,0.5483496785163879,0.0673524141311645,0.0036850827746093,2.838788350345567e-05,0.0022910614497959,0.0182601641863584,0.0010291875805705,2.0688670701929368e-05,0.0288510452955961,0.0727517008781433,0.0099539775401353,0.0002034525678027,1.6121568933158414e-06,0.304858535528183,0.9294561743736268,151.64212036132812,137.75955200195312,6.018251895904541,47.585880279541016,43.70887756347656,01300169_004,True
1300169,01300169_005.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_005.jpg,1823.0,166.9949493408203,3.911199569702149,0.8214665055274963,0.9665959477424622,0.4882667362689972,0.1061088144779205,-1.0,-4.029403889771181e-17,4.105362231060701e-17,-0.9038617610931396,-0.0786385387182235,-0.0013892375864088,-0.0288182850927114,0.0303386133164167,0.0244590658694505,-0.0282479226589202,-0.0111927771940827,-0.0325592309236526,-0.0410181060433387,0.0084868222475051,0.0113348858430981,-0.0166676640510559,0.0270245615392923,-0.0214481949806213,0.0068688248284161,0.0042291963472962,-0.010700237005949,0.0118373511359095,0.0005923798307776,-0.0060016033239662,0.0038682492449879,-0.0079817650839686,0.0041955700144171,0.0027427021414041,0.0007687490433454,0.0061345160938799,-0.0019853878766298,0.0014792038127779,-0.0005217198049649,0.0009700250811874,-0.0023805818054825,-0.0007288610213436,0.002037001773715,0.0002368803980061,0.0026876893825829,0.0012841824209317,137.99998474121094,0.5741297602653503,3.8874685764312735,5.809652328491211,4.451844215393066,1.775874376296997,1.2986698150634766,0.9769136309623718,0.2223557084798813,0.114589937031269,0.1542645245790481,0.0807970762252807,0.2855277359485626,0.3103284239768982,0.3014080822467804,0.318309873342514,2.1142507493261835e-16,0.6617816686630249,0.0181327331811189,0.0028142696246504,0.0166594758629798,0.4348833560943603,0.0532586351037025,0.0084391674026846,0.0084131266921758,0.0614571869373321,0.0040964428335428,0.0641455352306366,0.053501296788454,0.0369123332202434,0.0025466529186815,0.0066464506089687,0.0928844287991523,0.0198055040091276,0.0005561106954701,0.3283506631851196,0.0060798143967986,0.070818156003952,0.013872604817152,0.0002046480512944,0.2365088164806366,0.917334258556366,153.6634979248047,120.7390365600586,9.423833847045898,52.101219177246094,40.41259002685547,01300169_005,True
1300169,01300169_006.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_006.jpg,2099.5,245.72286987304688,5.362751007080078,0.4369528591632843,0.8328044414520264,0.9518669843673706,0.1707797944545745,-1.0,3.732753430180269e-17,-1.067067490055938e-16,-0.3733816146850586,0.0060086944140493,-0.013230268843472,-0.0153751820325851,-0.0620799101889133,-0.0669159665703773,-0.0056446902453899,0.0059924921952188,-0.1079159975051879,0.0158516988158226,-0.0097539508715271,-0.0469917505979537,0.0068132518790662,-0.0100648300722241,-0.0053964927792549,0.0210301578044891,-0.0258417092263698,0.003443859051913,-0.0093472618609666,0.0103372521698474,0.0179746616631746,0.0028005056083202,-0.0078579541295766,-0.0035150293260812,0.0003857385599985,-0.0018806908046826,-0.007985440082848,-0.0079935463145375,0.0161884799599647,0.0018991503166034,-0.002511121565476,-0.000479633687064,-0.0028034455608576,-0.0031262156553566,-0.0059571824967861,0.0036423495039343,0.0019814723636955,212.9999847412109,10.214244842529297,57.748077392578125,3.24808120727539,3.542696237564087,5.177463531494141,0.1576252430677414,0.547257661819458,1.1532074213027954,2.295405387878418,0.4308397769927978,1.344045877456665,0.8922245502471924,0.863166093826294,0.1213632896542549,0.318309873342514,0.0158267654478549,0.3562394082546234,0.2409006059169769,0.0915427505970001,0.0358521677553653,0.1677148342132568,0.2853434085845947,0.1606795489788055,0.0321281254291534,0.0465102083981037,0.064868189394474,0.1509154438972473,0.1344258934259414,0.1613092720508575,0.1020479947328567,0.053549725562334,0.0545463226735591,0.0364272892475128,0.0660116672515869,0.0960143506526947,0.0556123331189155,0.0475561544299125,0.0735311433672905,0.0623592026531696,0.0926742777228355,0.6988828182220459,80.23198699951172,195.5949249267578,23.9533634185791,39.095176696777344,29.952051162719727,01300169_006,False
1300169,01300169_007.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_007.jpg,1418.0,236.5340576171875,6.281386852264404,0.3184921741485595,0.8801986575126648,0.9896131753921508,0.0986131355166435,-1.0,7.450237106252809e-17,-2.320591548697577e-16,-0.203737661242485,0.003767060348764,-0.0001771386159816,-0.0232112351804971,-0.0221416298300027,-0.1021743044257164,0.0021948115900158,-0.0118211563676595,-0.054457202553749,0.0027923688758164,0.0005183765897527,-0.0147406142204999,-0.001620678929612,-0.0294505544006824,0.0009272159659303,0.0013533098390325,-0.0289889462292194,0.0060890987515449,-0.0027609465178102,0.0128571633249521,-0.0059496364556252,-0.0114684607833623,0.0005690881516784,-0.0016593838809058,-0.0118036186322569,0.0022732783108949,0.0002191028906963,0.000331802497385,-2.3126758605940267e-05,-0.0059100822545588,0.0002747258695308,-0.0011155257234349,-0.0111879790201783,0.0020705650094896,-0.0004855252627748,0.0053208637982606,-0.0013520672218874,185.9999847412109,8.184904098510742,64.65887451171875,1.6984881162643433,0.7814924716949463,2.359687805175781,3.357335329055786,1.0420966148376465,0.2306684404611587,0.5697609186172485,0.5033841133117676,0.4218579530715942,0.2346981614828109,0.3631833493709564,0.1122011840343475,0.318309873342514,0.0297150816768407,0.3263688385486603,0.2946452796459198,0.0313577353954315,0.0255353208631277,0.2938891649246216,0.2853734791278839,0.2685138881206512,0.0274868756532669,0.0287494100630283,0.0301250964403152,0.2653491795063019,0.2423533350229263,0.2491757571697235,0.235507383942604,0.0079850936308503,0.0497461110353469,0.0081321485340595,0.0373496375977993,0.2256883680820465,0.1938979476690292,0.2055868208408355,0.2063271850347519,0.1974576413631439,0.379598319530487,0.8791003227233887,164.10516357421875,167.94509887695312,8.437447547912598,52.17018127441406,58.76408004760742,01300169_007,False
1300169,01300169_008.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_008.jpg,4159.5,304.35028076171875,4.719034194946289,0.5642915964126587,0.8703703880310059,0.4973166584968567,0.1565270721912384,-1.0,3.1305445698946363e-16,-3.2031572633913993e-16,-0.873416006565094,-0.0539060831069946,-0.0507951900362968,-0.1737941056489944,0.0557366497814655,-0.0425447151064872,-0.0094997379928827,0.0286505855619907,-0.0266515798866748,-0.0302497260272502,-0.0181676503270864,0.0488241054117679,-0.023876579478383,-0.0285930186510086,0.0032273521646857,-0.0077842315658926,-0.0274265594780445,0.0084053259342908,0.0126315625384449,0.0301804095506668,-0.020440125837922,-0.0056066010147333,0.0020332855638116,0.027910029515624,0.0369725450873374,-0.0084491996094584,-0.0082192774862051,-0.0139551581814885,0.0191181916743516,-0.0151665592566132,-0.0033279154449701,0.0043955706059932,-0.0102884350344538,-0.0041588968597352,0.0056376387365162,0.0012602932984009,-0.0005900813266634,265.0,0.7083609700202942,14.97795295715332,23.388648986816406,5.160880088806152,2.381856203079224,2.256853580474853,4.419307231903076,5.076145172119141,2.826964855194092,1.244917392730713,0.4085637927055359,2.128098726272583,2.201425790786743,0.4592443704605102,0.318309873342514,0.0036090933717787,0.2514526844024658,0.0561455152928829,0.0357137620449066,0.1389281600713729,0.0558394156396389,0.0159348491579294,0.012431769631803,0.0483227558434009,0.0495616644620895,0.0329442806541919,0.0699453949928283,0.0198455527424812,0.0495506003499031,0.0527256466448307,0.005300126504153,0.0737749189138412,0.0090514011681079,0.0108390552923083,0.0039481888525187,0.0314056575298309,0.0178315062075853,0.0267185978591442,0.0176174081861972,0.0370797775685787,0.1186037883162498,94.89681243896484,164.9350128173828,58.505409240722656,36.7635612487793,56.0970458984375,01300169_008,False
1300169,01300169_009.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_009.jpg,3573.0,276.1076354980469,4.619148254394531,0.5889602899551392,0.9037561416625975,0.8351858854293823,0.1147084757685661,-1.0,5.35756710206144e-17,-1.0260321186583664e-16,-0.5890194177627563,-0.0466501638293266,-0.0454858615994453,-0.1257888227701187,0.1066385507583618,-0.0580884777009487,0.0022021457552909,0.0258100908249616,-0.0720258876681327,-0.0372508578002452,-0.039171926677227,0.0196445491164922,-0.0061151888221502,-0.0132617875933647,0.0051805577240884,0.0006542846094816,0.002356416080147,-0.0114012500271201,-0.0122267082333564,0.0063489316962659,-0.0278094541281461,-0.0038212700746953,0.0096930414438247,-0.0039335638284683,-0.0177232529968023,0.0025475698057562,-0.0039920667186379,-0.0037016512360423,-0.008223689161241,0.0033122275490313,-0.0046810256317257,0.004701436497271,-0.0015851507196202,-0.0018687355332076,-0.0037926845252513,0.001862408244051,0.0102784475311636,237.9999847412109,4.762299537658691,38.15643310546875,22.893970489501957,4.44143009185791,4.901707172393799,2.587298631668091,1.1879572868347168,1.3741108179092407,0.575452446937561,1.008012294769287,0.944377899169922,0.924177348613739,0.2464357614517212,0.3647344708442688,0.318309873342514,0.0305844005197286,0.3053632974624634,0.1484567075967788,0.0763098523020744,0.0994511246681213,0.0309885069727897,0.1025243997573852,0.0381927192211151,0.0538093596696853,0.0464175604283809,0.1129031553864479,0.059343185275793,0.0234304126352071,0.015552507713437,0.0145015930756926,0.0588624775409698,0.021580995991826,0.0531737133860588,0.0561979673802852,0.0179136134684085,0.072533831000328,0.0506134368479251,0.0096256053075194,0.0359407812356948,0.2888890206813812,0.4741730690002441,157.26292419433594,179.5185546875,31.07591819763184,76.92330169677734,42.03314971923828,01300169_009,False
1300169,01300169_010.jpg,/content/drive/MyDrive/data/fruit_pics_all/01300169/01300169_010.jpg,183.5,98.32589721679688,7.258549690246582,0.2385119050741195,0.6349480748176575,0.7619568109512329,0.3810668289661407,-1.0,-2.65082368827357e-17,1.4969339314606372e-16,-0.7823343873023987,-0.300481379032135,-0.1373228132724762,0.0779314413666725,-0.0170559212565422,0.1452240943908691,-0.043720468878746,-0.0152004528790712,-0.0361162759363651,-0.1581009328365326,0.0006144565995782,-0.0144072929397225,0.0301520843058824,0.1446957886219024,-0.0567465275526046,-0.095487006008625,-0.0055207265540957,-0.0053116967901587,-0.0462345443665981,-0.0215971320867538,0.0766291320323944,-0.0225383602082729,-0.0087593803182244,0.0318730100989341,-0.0068833939731121,0.0438292324542999,-0.0301477871835231,0.0360704325139522,0.0231550224125385,0.013291323557496,-0.0231515821069479,-0.0222705341875553,-0.0107438610866665,0.0171608570963144,-0.0267250500619411,-0.0468197390437126,0.0156875625252723,82.99999237060547,1.4365657567977903,1.5804109573364258,9.801825523376465,7.3623366355896,3.0920040607452397,5.348560810089111,2.922520875930786,1.1217957735061646,0.8142678737640381,1.927191138267517,1.4586609601974487,1.2178553342819214,0.6489420533180237,0.9253702163696288,0.318309873342514,0.0015634498558938,0.4944391250610351,0.1117100715637207,0.1062106788158416,0.0459253303706646,0.193531185388565,0.3823557198047638,0.0591133870184421,0.4141032695770263,0.0544271357357502,0.0516900978982448,0.0919294357299804,0.6107845306396484,0.1766856014728546,0.0608390755951404,0.5760714411735535,0.118216872215271,0.0976727604866027,0.0367468520998954,0.3034726679325104,0.5209543704986572,0.3074231743812561,0.1291661113500595,0.0332465320825576,0.1425897628068924,0.6240872740745544,185.7336578369141,157.10411071777344,27.05739974975586,55.71943664550781,45.27073669433594,01300169_010,True
